Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Cost (Singular),Original Price,OrderDate,ShipDate,Product cat,Product Subcat,ProductID
CA-2018-115812,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3091999999998,180.0972,236.97,2018-06-09,2018-06-14,FUR,TA,10001539
CA-2018-115812,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.35680000000002,210.7668,284.82,2018-06-09,2018-06-14,TEC,PH,10002033
CA-2021-114412,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,3.3696,6.48,2021-04-15,2021-04-20,OFF,PA,10002365
CA-2020-161389,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.97600000000006,3,0.2,132.5921999999999,91.7946,169.99,2020-12-05,2020-12-10,OFF,BI,10003656
US-2019-118983,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.80999999999999,5,0.8,-123.858,38.5336,68.81,2019-11-22,2019-11-26,OFF,AP,10002311
US-2019-118983,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.8160000000000016,2.12,4.24,2019-11-22,2019-11-26,OFF,BI,10000756
CA-2018-105893,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,108.7604,110.98,2018-11-11,2018-11-18,OFF,ST,10004186
CA-2018-167164,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.989999999999995,22.755,27.75,2018-05-13,2018-05-15,OFF,ST,10000107
CA-2018-143336,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.482399999999999,3.0388,4.28,2018-08-27,2018-09-01,OFF,AR,10003056
CA-2018-143336,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.01099999999998,65.823,88.95,2018-08-27,2018-09-01,TEC,PH,10001949
CA-2018-143336,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.383999999999999,3.834,7.1,2018-08-27,2018-09-01,OFF,BI,10002215
CA-2020-137330,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,2.0572,2.78,2020-12-09,2020-12-13,OFF,AR,10000246
CA-2020-137330,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,6.3788,8.62,2020-12-09,2020-12-13,OFF,AP,10001492
US-2021-156909,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.37199999999999,2,0.2999999999999999,-1.0196000000000007,36.1958,50.98,2021-07-16,2021-07-18,FUR,CH,10002774
CA-2019-106320,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,268.1217,348.21,2019-09-25,2019-09-30,FUR,TA,10000577
CA-2020-121755,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,3.7128,7.28,2020-01-16,2020-01-20,OFF,BI,10001634
CA-2020-121755,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,26.2653,30.19,2020-01-16,2020-01-20,TEC,AC,10003027
US-2019-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,678.3546,880.98,2019-09-17,2019-09-21,FUR,BO,10004834
US-2019-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618000000000002,2,0.6999999999999998,-7.0532,8.335599999999998,16.03,2019-09-17,2019-09-21,OFF,BI,10000474
US-2019-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848B,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.52499999999999,36.225,51.75,2019-09-17,2019-09-21,FUR,FU,10004848B
US-2019-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,1.0812,2.04,2019-09-17,2019-09-21,OFF,EN,10001509
US-2019-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.709199999999987,12.7658,17.98,2019-09-17,2019-09-21,OFF,AR,10004042
US-2019-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858000000000001,6,0.6999999999999998,-5.715,2.0955,3.81,2019-09-17,2019-09-21,OFF,BI,10001525
US-2019-150630,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.5460000000000007,6.107,9.85,2019-09-17,2019-09-21,OFF,AR,10001683
CA-2021-107727,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.946799999999998,6.5084,12.28,2021-10-19,2021-10-23,OFF,PA,10000249
CA-2020-117590,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.47369999999988,139.1529,195.99,2020-12-08,2020-12-10,TEC,PH,10004977
CA-2020-117590,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.5999999999999999,-147.963,67.7766,95.46,2020-12-08,2020-12-10,FUR,FU,10003664
CA-2019-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,8.657,15.74,2019-12-27,2019-12-31,OFF,EN,10002986
CA-2019-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.976400000000005,193.1252,260.98,2019-12-27,2019-12-31,FUR,BO,10002545
CA-2019-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.2999999999999999,-15.14699999999999,75.735,100.98,2019-12-27,2019-12-31,FUR,CH,10004218
CA-2019-117415,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.75639999999996,82.3529,115.99,2019-12-27,2019-12-31,TEC,PH,10000486
CA-2021-120999,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,32.6529,45.99,2021-09-10,2021-09-15,TEC,PH,10004093
CA-2020-101343,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.87999999999998,2,0.0,3.8939999999999912,36.993,38.94,2020-07-17,2020-07-22,OFF,ST,10003479
CA-2021-139619,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.561600000000007,43.0272,59.76,2021-09-19,2021-09-23,OFF,ST,10003282
CA-2020-118255,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,13.1043,22.99,2020-03-11,2020-03-13,TEC,AC,10000171
CA-2020-118255,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.206199999999999,4.6269,8.73,2020-03-11,2020-03-13,OFF,BI,10003291
CA-2018-146703,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.478399999999993,50.8704,52.99,2018-10-20,2018-10-25,OFF,ST,10001713
CA-2020-169194,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.950000000000001,13.35,15.0,2020-06-20,2020-06-25,TEC,AC,10002167
CA-2020-169194,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104000000000001,7.848,10.9,2020-06-20,2020-06-25,TEC,PH,10003988
CA-2019-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,3.3761,6.37,2019-04-18,2019-04-22,OFF,BI,10004410
CA-2019-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.17999999999998,6,0.0,35.33459999999999,6.6409,12.53,2019-04-18,2019-04-22,OFF,LA,10002762
CA-2019-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,1.6016,3.08,2019-04-18,2019-04-22,FUR,FU,10001706
CA-2019-115742,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.98999999999998,1,0.0,17.09809999999999,72.8919,89.98999999999998,2019-04-18,2019-04-22,FUR,CH,10003061
CA-2020-105816,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.256600000000001,1.2862,2.18,2020-12-11,2020-12-17,OFF,FA,10000304
CA-2020-105816,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,146.2529,205.99,2020-12-11,2020-12-17,TEC,PH,10002447
CA-2020-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.13999999999999,26.07,34.76,2020-06-17,2020-06-18,OFF,ST,10000604
CA-2020-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.40000000000001,5,0.0,15.552,3.3696,6.48,2020-06-17,2020-06-18,OFF,PA,10001569
CA-2020-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098000000000006,62.4624,70.98,2020-06-17,2020-06-18,FUR,CH,10003968
CA-2020-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,3.7856,7.28,2020-06-17,2020-06-18,OFF,PA,10000587
CA-2020-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3000000000000007,13.35,15.0,2020-06-17,2020-06-18,TEC,AC,10002167
CA-2020-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,8.0295,15.15,2020-06-17,2020-06-18,OFF,BI,10001460
CA-2020-111682,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.8399999999999999,0.8399999999999999,1.68,2020-06-17,2020-06-18,OFF,AR,10001868
CA-2019-135545,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.151200000000001,3.9144,6.99,2019-11-24,2019-11-30,TEC,AC,10004633
CA-2019-135545,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,2.7438,5.38,2019-11-24,2019-11-30,OFF,BI,10001078
CA-2019-135545,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,25.9223,48.91,2019-11-24,2019-11-30,OFF,PA,10003892
CA-2019-135545,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.33280000000001,14.3568,19.94,2019-11-24,2019-11-30,FUR,FU,10000397
US-2019-164175,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146A,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.2999999999999999,-15.222500000000013,45.6675,60.89,2019-04-30,2019-05-05,FUR,CH,10001146A
CA-2018-106376,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,125.2152,173.91,2018-12-05,2018-12-10,OFF,AR,10002671
CA-2018-106376,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,26.245,52.49,2018-12-05,2018-12-10,TEC,PH,10002726
CA-2020-119823,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.87999999999998,2,0.0,35.6636,20.1082,37.94,2020-06-04,2020-06-06,OFF,PA,10000482
CA-2020-106075,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654A,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,2.885,5.77,2020-09-18,2020-09-23,OFF,BI,10004654A
CA-2021-114440,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,3.429,6.35,2021-09-14,2021-09-17,OFF,PA,10004675
US-2019-134026,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.9360000000001,8,0.2,-114.3912,118.2909,129.99,2019-04-26,2019-05-02,FUR,CH,10000513
US-2019-134026,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.212999999999997,47.9135,60.65,2019-04-26,2019-05-02,FUR,FU,10003708
US-2019-134026,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,90.98,90.98,2019-04-26,2019-05-02,OFF,ST,10004123
US-2021-118038,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.934400000000001,1.0608,2.08,2021-12-09,2021-12-11,OFF,BI,10004182
US-2021-118038,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.5999999999999999,-5.8248000000000015,5.1776,8.09,2021-12-09,2021-12-11,FUR,FU,10000260
US-2021-118038,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724000000000002,8.172,11.35,2021-12-09,2021-12-11,OFF,ST,10000615
US-2018-147606,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.5999999999999999,-14.475,6.755,9.65,2018-11-26,2018-12-01,FUR,FU,10003194
CA-2020-127208,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.20320000000001,151.9568,208.16,2020-06-12,2020-06-15,OFF,AP,10002118
CA-2020-127208,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.035199999999998,2.9016,5.58,2020-06-12,2020-06-15,OFF,BI,10002309
CA-2018-139451,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172000000000001,2.1456,2.98,2018-10-12,2018-10-16,OFF,AR,10002053
CA-2018-139451,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.203099999999999,15.1869,21.39,2018-10-12,2018-10-16,OFF,ST,10002370
CA-2019-149734,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.80749999999998,19.7395,35.89,2019-09-03,2019-09-08,OFF,EN,10000927
US-2021-119662,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,93.1103,95.99,2021-11-13,2021-11-16,OFF,ST,10003656
CA-2021-140088,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.21559999999999,134.3722,150.98,2021-05-28,2021-05-30,FUR,CH,10000863
CA-2021-155558,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.796599999999998,13.1934,19.99,2021-10-26,2021-11-02,TEC,AC,10001998
CA-2021-155558,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,1.6016,3.08,2021-10-26,2021-11-02,OFF,LA,10000134
CA-2020-159695,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,20.6444,28.28,2020-04-05,2020-04-10,OFF,ST,10003442
CA-2020-109806,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.632999999999998,4.489,6.7,2020-09-17,2020-09-22,OFF,AR,10004930
CA-2020-109806,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.278199999999998,32.6529,45.99,2020-09-17,2020-09-22,TEC,PH,10004093
CA-2020-109806,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104,3.3696,6.48,2020-09-17,2020-09-22,OFF,PA,10000304
